1,2,4,0,4,12,13,8,0,3,4,25,23,6,9,4,4,18,12135,1754554449.0761034
16,15,2,12,5,3,3,1,0,2,3,16,1,3,7,2,3,2,12136,1754554449.077104
6,24,2,7,7,25,3,17,4,5,5,17,5,8,1,17,2,10,12135,1754554449.412685
2,8,1,2,1,7,2,1,1,6,7,1,8,5,8,3,5,0,12136,1754554449.4136865
8,10,1,9,17,2,10,11,2,8,8,25,15,14,12,17,4,9,12135,1754554449.7463987
6,13,3,7,4,10,2,3,2,6,1,12,11,13,7,4,27,25,12136,1754554449.749396
8,39,1,5,28,17,13,8,1,3,20,16,28,6,3,13,5,11,12135,1754554450.078912
6,25,6,6,1,9,12,9,15,1,2,9,2,9,4,3,16,25,12136,1754554450.079911
5,31,7,1,7,19,2,1,6,5,4,10,11,1,2,23,20,15,12135,1754554450.4137056
3,11,6,3,5,0,9,3,14,14,6,5,0,0,7,2,6,0,12136,1754554450.4157026
13,22,3,10,1,5,1,8,4,4,5,2,9,6,9,5,26,13,12135,1754554450.7481182
7,9,1,12,3,8,2,5,3,8,7,7,1,5,1,0,2,3,12136,1754554450.751111
6,15,3,8,12,2,3,5,3,3,4,7,15,9,30,49,25,11,12135,1754554451.0824034
3,19,0,10,3,2,2,1,4,2,5,3,8,2,4,1,7,7,12136,1754554451.0843987
5,25,9,9,7,4,1,1,1,5,3,17,23,4,26,21,3,0,12135,1754554451.4214087
11,9,1,11,6,6,3,11,5,3,5,1,1,3,4,7,4,5,12136,1754554451.4229248
8,4,7,18,5,6,5,3,0,0,4,1,10,2,1,15,19,4,12135,1754554451.7495103
6,1,5,16,11,0,3,14,3,4,2,2,8,15,3,3,12,19,12136,1754554451.7515123
5,2,4,22,4,3,2,6,12,1,15,25,2,7,5,39,22,5,12135,1754554452.084336
7,0,11,11,0,3,9,4,0,6,0,3,5,13,8,2,2,17,12136,1754554452.0864754
21,7,7,16,5,17,2,11,12,8,14,7,11,9,3,41,20,6,12135,1754554452.4199178
2,7,14,22,2,3,6,6,6,1,2,0,7,20,5,4,2,1,12136,1754554452.4229143
36,5,6,14,1,11,2,7,11,2,4,2,8,6,3,20,25,10,12135,1754554452.7530856
